"Pitcher","NumPitches","Baseline_TestError","NB_TestError","MLR_TestError","MLR_AUC","GBM_TestError"
"Justin Verlander","20986","0.429783223374175","0.348413446434182","0.351555136663525","0.689485968134294","0.347470939365379"
"Zach Eflin","12900","0.388036809815951","0.378323108384458","0.383946830265849","0.641966136245312","0.365030674846626"
"Clayton Kershaw","19254","0.44238683127572","0.35562414266118","0.347050754458162","0.693515737482956","0.329218106995885"
"Blake Snell","17419","0.475628332063976","0.432216298552932","0.417745620715918","0.617949988167731","0.4002284843869"
"Shohei Ohtani","7612","0.375527426160338","0.368776371308017","0.362025316455696","0.641516853932584","0.355274261603376"
